Index,Word,log freq,nr. of tokens,tokens,word score
519,head,12.06863075974118,1,head,-13.800697326660156
520,headmaster,7.277938572945661,2,head_master,-20.13531875610352
521,hedonist,7.443078374348516,2,hedon_ist,-23.477832794189453
522,heir,10.37452190040887,2,he_ir,-17.739906311035156
523,helped,7.29641326877392,2,hel_ped,-18.79224395751953
524,helper,8.19946419761216,2,hel_per,-17.006046295166016
525,hero,11.10339209268611,1,hero,-14.912368774414062
526,hid,11.038801358204804,1,hid,-17.973060607910156
527,hidden,8.413387022690648,1,hidden,-14.514991760253906
528,hijacker,6.285998094508865,3,h_ij_acker,-19.916662216186523
529,hired,7.951911381854188,2,h_ired,-18.793609619140625
530,historian,9.516427036104067,2,hist_orian,-16.97461700439453
531,hit,11.428303957239482,1,hit,-14.368255615234377
532,hitter,8.165932137321585,2,h_itter,-20.651012420654297
533,hoarder,6.80128303447162,3,ho_ard_er,-22.78668975830078
534,hockey,7.536363938404511,2,h_ockey,-16.267208099365234
535,hoisted,6.570882962339584,2,ho_isted,-22.177509307861328
536,homeless,7.788626065625031,2,hom_eless,-17.24844741821289
537,hoodlum,7.077498053569231,3,hood_l_um,-22.00641632080078
538,hooligan,7.236339342754344,3,h_ool_igan,-19.712892532348636
539,hostage,8.184513753033722,2,host_age,-17.332557678222656
540,hounded,6.655440350367647,2,h_ounded,-21.074817657470703
541,house,11.98804100610214,1,house,-14.983879089355469
542,hugged,6.513230110912307,3,h_ug_ged,-21.239425659179688
543,humorist,8.330381569349418,3,hum_or_ist,-22.96986389160156
544,hung,10.4204940353772,1,hung,-16.64508056640625
545,hunter,8.720950028930258,1,hunter,-17.901588439941406
546,huntsman,7.324489979348532,3,hun_ts_man,-21.606124877929688
547,hypnotized,6.543911845564792,3,hyp_not_ized,-21.57465171813965
548,hypochondriac,8.146709052203319,4,hyp_ochond_ri_ac,-23.250932693481445
549,identified,9.36657459400682,1,identified,-15.469856262207031
550,idiot,9.597030324758013,2,id_iot,-16.431934356689453
551,illness,9.653614941479894,2,ill_ness,-20.864540100097656
552,imitated,6.983789965258135,2,im_itated,-20.428783416748047
553,imitator,8.29054350077274,3,im_it_ator,-22.761493682861328
554,immigrant,9.25674674479034,1,immigrant,-15.852546691894531
555,impersonator,6.688354713946762,3,im_person_ator,-21.044395923614506
556,impressed,7.291656209174461,2,imp_ressed,-20.325061798095703
557,industrialist,7.206377291472252,2,industrial_ist,-20.50303268432617
558,infant,10.849006935070411,2,inf_ant,-18.455829620361328
559,infantryman,6.304448802421981,3,inf_antry_man,-23.491947174072266
560,inherited,7.436027816351848,3,in_her_ited,-17.308812141418457
561,initialed,6.375024819828097,2,initial_ed,-20.46894073486328
562,inmate,8.602453035367061,2,in_mate,-18.228168487548828
563,innovator,7.492203042618741,3,inn_ov_ator,-19.906064987182617
564,inspected,6.561030665896573,2,ins_pected,-20.543746948242188
565,inspector,8.617762246337932,3,ins_pect_or,-17.65289306640625
566,instructed,7.1846291527173145,2,in_structed,-19.180065155029297
567,instructor,8.514188682395938,3,in_struct_or,-18.223289489746094
568,instrumentalist,7.193685818395112,3,in_strument_alist,-20.096046447753903
569,insulted,7.072421900537371,3,ins_ult_ed,-21.214370727539062
570,insurgent,8.46884293047519,3,ins_urg_ent,-20.1260986328125
571,intermediary,7.358830898342354,3,inter_medi_ary,-21.00989151000977
572,intern,11.351641067242074,1,intern,-15.30316925048828
573,interpreter,8.414274137408396,3,inter_pre_ter,-18.13395881652832
574,interrogated,6.923628628138427,3,inter_rog_ated,-21.435699462890625
575,interviewee,6.610696044717759,3,inter_view_ee,-20.144046783447266
576,interviewer,7.528331766707247,3,inter_view_er,-18.68341827392578
577,intrigued,6.439350371100098,3,int_rig_ued,-21.368633270263672
578,introduced,9.205126804923296,2,introdu_ced,-15.325119018554688
579,intruder,7.758760544157663,3,int_r_uder,-20.88569641113281
580,invader,8.669055540725484,2,inv_ader,-18.10733795166016
581,inventor,9.611931318535747,3,in_vent_or,-17.421615600585938
582,investigator,9.6071010394542,2,invest_igator,-18.181575775146484
583,investor,9.042276686928927,2,invest_or,-18.03030204772949
584,invoiced,6.376726947898627,3,in_vo_iced,-20.721454620361328
585,irked,6.289715570908998,2,ir_ked,-21.54276657104492
586,ironed,6.525029657843462,2,iron_ed,-21.180233001708984
587,irritated,7.124478262493424,3,ir_rit_ated,-22.2761173248291
588,itinerary,7.138866999945524,3,it_iner_ary,-19.852302998304367
589,jail,9.992276515350188,2,j_ail,-18.38072204589844
590,jam,10.9598706069865,1,jam,-16.07842254638672
591,janitor,8.053251153549096,2,jan_itor,-18.4156494140625
592,jester,7.579167967396076,2,j_ester,-18.47335433959961
593,jet,10.746131744241984,1,jet,-16.57868194580078
594,jock,9.202207388745991,2,j_ock,-19.281360626220703
595,joker,7.4815557019095165,2,j_oker,-17.591999053955078
596,journalist,8.554488976159934,2,journal_ist,-15.920280456542969
597,judge,10.60042753133477,2,jud_ge,-15.903488159179688
598,jury,10.141204395699798,1,jury,-16.732208251953125
599,key,10.919840790366807,1,key,-12.498123168945312
600,kid,10.735396175137648,1,kid,-15.44890594482422
601,kidnapped,6.111467339502679,3,kid_n_apped,-18.765304565429688
602,killed,9.716434821366272,1,killed,-14.258522033691406
603,king,11.506696102718887,1,king,-16.852783203125
604,kissed,6.60934924316738,2,kiss_ed,-18.707992553710938
605,lab,12.652100514560468,1,lab,-15.981895446777344
606,lad,11.648862711206654,1,lad,-16.44147491455078
607,lady,10.154285180632154,2,l_ady,-17.59390640258789
608,landlady,7.53955882930103,3,land_l_ady,-22.524438858032227
609,landscaper,6.336825731146441,3,land_sc_aper,-22.77310943603516
610,laptop,5.963579343618446,2,l_aptop,-18.430408477783203
611,lauded,6.517671272912275,3,l_aud_ed,-22.386852264404297
612,lawyer,9.773606631681607,2,law_yer,-15.46196746826172
613,leader,10.891428954153636,1,leader,-15.745651245117188
614,lecturer,8.193953023563742,2,lect_urer,-20.277183532714844
615,left,10.879988702809266,1,left,-11.699745178222656
616,legislator,8.706655856361559,3,leg_isl_ator,-18.74503231048584
617,letter,11.216256464110744,1,letter,-14.88336181640625
618,liar,9.99488098096534,2,li_ar,-17.61284637451172
619,librarian,8.367532416861831,2,l_ibrarian,-18.710613250732425
620,lieutenant,9.06773940337716,2,lie_utenant,-20.285362243652344
621,lifted,7.490529402060711,2,l_ifted,-19.77240753173828
622,light,11.91024414754258,1,light,-14.965843200683594
623,linebacker,6.2878585601617845,2,line_backer,-21.765918731689453
624,lion,10.44380401506915,2,l_ion,-17.740253448486328
625,liquor,9.546812608597396,3,l_iqu_or,-19.96051406860352
626,litigator,7.447751280047908,2,lit_igator,-22.472362518310547
627,loaded,7.332369205929062,1,loaded,-14.828239440917969
628,loathed,6.698268054115413,2,lo_athed,-22.701290130615234
629,located,9.198773735604718,2,l_ocated,-17.543331146240234
630,logger,8.191740021277457,2,log_ger,-17.768051147460938
631,loner,7.775695749915245,2,l_oner,-21.44415664672852
632,lord,10.683637776717648,1,lord,-17.60967254638672
633,lost,10.366907053904848,1,lost,-13.533004760742188
634,loudmouth,7.029972911706386,3,l_oud_mouth,-22.59642791748047
635,loved,9.017604776833355,2,l_oved,-18.26455307006836
636,loyalist,7.646831391430482,3,l_oyal_ist,-21.85919189453125
637,luggage,7.666221925662725,2,l_uggage,-20.506732940673828
638,lunatic,8.556221578383715,3,l_un_atic,-19.799945831298828
639,lyricist,6.673297967767654,3,ly_ric_ist,-22.34052276611328
640,made,11.388495386592052,1,made,-13.768234252929688
641,maestro,7.866722285136729,2,ma_estro,-18.251163482666016
642,magician,8.033009498596668,2,mag_ician,-18.4172477722168
643,maid,10.248813337717966,1,maid,-18.967430114746094
644,maiden,9.422139821589736,2,m_aiden,-19.58652114868164
645,mailman,6.42648845745769,2,mail_man,-17.390708923339844
646,main,11.876839145920158,1,main,-12.173927307128906
647,man,14.094973193201827,1,man,-13.336044311523438
648,manager,9.830325286907144,1,manager,-15.143531799316406
649,maneuvered,5.963579343618446,3,man_eu_vered,-24.22935104370117
650,maniac,8.14902386805177,2,man_iac,-18.613948822021484
651,manicurist,6.398594934535208,4,man_ic_ur_ist,-22.56200408935547
652,manservant,6.912742820493176,3,mans_erv_ant,-22.539289474487305
653,manufacturer,9.474549088242322,2,manufact_urer,-15.613697052001951
